StartDate,EndValue,LongValue,N_Buys,N_Sells,N,Threshold
2021-01-09 06:00:00+00:00,1971540.0999999996,262477.0,38,38,5,2
2021-01-14 06:00:00+00:00,1701829.4999999993,294545.1,39,38,5,2
2021-01-19 06:00:00+00:00,1784559.9000000001,233140.0,38,38,5,2
2021-01-24 06:00:00+00:00,1818994.0000000002,185978.8,37,37,5,2
2021-01-29 06:00:00+00:00,1584262.2000000002,193214.0,38,37,5,2
2021-02-03 06:00:00+00:00,1592389.0999999999,170688.0,37,36,5,2
2021-02-08 06:00:00+00:00,1671258.0999999996,197960.0,38,36,5,2
2021-02-13 06:00:00+00:00,1641092.5000000002,156529.8,36,36,5,2
2021-02-18 06:00:00+00:00,1535623.5999999999,152265.2,36,35,5,2
2021-02-23 06:00:00+00:00,1534459.8,161128.0,36,36,5,2
2021-02-28 06:00:00+00:00,1510776.8999999997,191330.3,37,35,5,2
2021-03-05 06:00:00+00:00,1384899.0999999994,177264.4,36,36,5,2
2021-03-10 06:00:00+00:00,1427441.4,143461.0,36,34,5,2
2021-03-15 05:00:00+00:00,1401612.6,136623.0,35,35,5,2
2021-03-20 05:00:00+00:00,1641309.3000000003,159232.6,35,34,5,2
2021-03-25 05:00:00+00:00,1674630.6999999995,198525.7,35,34,5,2
2021-03-30 05:00:00+00:00,1603662.0,186487.5,35,34,5,2
2021-04-04 05:00:00+00:00,1695596.4999999995,172877.7,36,35,5,2
2021-04-09 05:00:00+00:00,1479823.6999999997,154384.0,36,36,5,2
2021-04-14 05:00:00+00:00,1425273.5,130920.4,35,35,5,2
2021-04-19 05:00:00+00:00,1410423.9,133316.4,36,35,5,2
2021-04-24 05:00:00+00:00,1278426.2999999996,127765.09999999999,36,36,5,2
2021-04-29 05:00:00+00:00,1017925.2999999998,108421.2,36,36,5,2
2021-05-04 05:00:00+00:00,864733.9999999998,83818.0,37,36,5,2
2021-05-09 05:00:00+00:00,907771.1000000001,64080.00000000001,37,36,5,2
2021-05-14 05:00:00+00:00,907771.1000000001,53683.6,37,36,5,2
2021-05-19 05:00:00+00:00,914791.1000000001,66731.0,38,37,5,2
2021-05-24 05:00:00+00:00,897639.9999999999,93904.1,37,36,5,2
2021-05-29 05:00:00+00:00,863447.5,71780.0,37,37,5,2
2021-06-03 05:00:00+00:00,863386.5999999999,65630.80000000002,37,37,5,2
2021-06-08 05:00:00+00:00,873701.3999999999,72480.0,38,37,5,2
2021-06-13 05:00:00+00:00,886578.8999999999,58449.399999999994,37,37,5,2
2021-06-18 05:00:00+00:00,886578.8999999999,46403.799999999996,37,37,5,2
2021-06-23 05:00:00+00:00,855924.9000000003,54685.0,38,37,5,2
2021-06-28 05:00:00+00:00,865244.4000000001,60124.99999999999,38,37,5,2
2021-07-03 05:00:00+00:00,818729.4,51010.0,37,37,5,2
2021-07-08 05:00:00+00:00,972920.6000000001,56118.8,38,37,5,2
2021-07-13 05:00:00+00:00,884130.2999999999,52401.40000000001,37,37,5,2
2021-07-18 05:00:00+00:00,1076179.1000000006,71570.0,38,37,5,2
2021-07-23 05:00:00+00:00,1100283.1,76369.59999999998,38,37,5,2
2021-07-28 05:00:00+00:00,1078094.7999999998,72015.59999999999,39,38,5,2
2021-08-02 05:00:00+00:00,964950.4,62091.999999999985,38,38,5,2
2021-08-07 05:00:00+00:00,912612.4999999995,57670.9,39,38,5,2
2021-08-12 05:00:00+00:00,1018320.9000000001,60214.6,39,37,5,2
2021-08-17 05:00:00+00:00,1060390.0999999996,59709.30000000001,38,38,5,2
2021-08-22 05:00:00+00:00,1032763.1000000001,50782.0,38,37,5,2
2021-08-27 05:00:00+00:00,1000684.2000000002,48444.799999999996,38,38,5,2
2021-09-01 05:00:00+00:00,871308.2,46475.200000000004,39,38,5,2
2021-09-06 05:00:00+00:00,931369.0000000001,43150.0,39,38,5,2
2021-09-11 05:00:00+00:00,970884.4999999999,54547.0,40,39,5,2
2021-09-16 05:00:00+00:00,995631.4,41061.7,39,39,5,2
2021-09-21 05:00:00+00:00,1043675.0999999999,45738.10000000001,38,38,5,2
2021-09-26 05:00:00+00:00,998588.9999999998,45543.5,38,37,5,2
2021-10-01 05:00:00+00:00,913183.9,44814.10000000001,41,39,5,2
2021-10-06 05:00:00+00:00,904960.6999999998,41281.2,41,39,5,2
2021-10-11 05:00:00+00:00,800887.8999999998,37111.99999999999,40,40,5,2
2021-10-16 05:00:00+00:00,719552.6000000002,33634.99999999999,41,39,5,2
2021-10-21 05:00:00+00:00,722468.8000000002,30932.800000000014,39,39,5,2
2021-10-26 05:00:00+00:00,735058.4999999997,37157.09999999999,39,38,5,2
2021-10-31 05:00:00+00:00,783266.2,38818.00000000001,38,37,5,2
2020-04-05 05:00:00+00:00,3254180.24,1468448.0499999998,22,21,5,5
2020-05-25 05:00:00+00:00,3202992.6599999997,1212571.63,22,22,5,5
2020-05-30 05:00:00+00:00,3378541.1700000004,1195418.08,22,21,5,5
2020-06-04 05:00:00+00:00,3393559.47,1025526.0999999999,22,22,5,5
2020-06-09 05:00:00+00:00,3393559.47,968629.96,22,22,5,5
2020-06-14 05:00:00+00:00,3305574.2700000005,1005305.25,23,23,5,5
2020-06-19 05:00:00+00:00,3305574.2700000005,873201.5800000001,23,23,5,5
2020-06-24 05:00:00+00:00,3305574.2700000005,795787.5599999999,23,23,5,5
2020-06-29 05:00:00+00:00,3564803.8700000006,951899.0999999999,24,23,5,5
2020-07-04 05:00:00+00:00,3740067.070000001,989633.71,24,23,5,5
2020-07-09 05:00:00+00:00,3750229.670000001,825134.32,24,24,5,5
2020-07-14 05:00:00+00:00,3942946.670000001,829997.8,25,24,5,5
2020-07-19 05:00:00+00:00,3709291.35,885722.92,26,25,5,5
2020-07-24 05:00:00+00:00,3243995.78,846937.5,27,25,5,5
2020-07-29 05:00:00+00:00,3133256.17,795416.8,26,25,5,5
2020-08-03 05:00:00+00:00,3629157.67,754865.5,26,25,5,5
2020-08-09 05:00:00+00:00,3608997.4400000004,803661.3099999999,26,25,5,5
2020-08-14 05:00:00+00:00,3817766.91,756212.1599999999,25,24,5,5
2020-08-19 05:00:00+00:00,3845092.81,789320.53,26,25,5,5
